customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0001,Male,0,No,Yes,36,Yes,No,Fiber optic,No,No,No internet service,Yes,No,Yes,Two year,No,Bank transfer,55.32,1991.52,Yes
CUST0002,Male,1,No,Yes,67,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,96.78,6484.26,Yes
CUST0003,Male,0,Yes,No,57,No,No phone service,Fiber optic,No,No,No,Yes,No internet service,No,One year,No,Credit card,79.43,4527.51,Yes
CUST0004,Male,1,Yes,No,39,No,No phone service,DSL,Yes,Yes,Yes,No internet service,No,No,Two year,Yes,Electronic check,86.43,3370.77,No
CUST0005,Male,0,Yes,No,30,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No internet service,No internet service,One year,Yes,Bank transfer,60.79,1823.7,No
CUST0006,Male,0,No,Yes,9,Yes,No,DSL,Yes,No internet service,No internet service,Yes,Yes,Yes,Two year,Yes,Bank transfer,32.7,294.3,Yes
CUST0007,Male,0,No,No,51,No,Yes,No,No internet service,Yes,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer,61.15,3118.65,Yes
CUST0008,Female,0,No,Yes,20,No,No phone service,No,No,No,Yes,No,No,No,Two year,No,Bank transfer,34.67,693.4,No
CUST0009,Male,0,No,Yes,48,Yes,No,No,No,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Bank transfer,89.91,4315.68,No
CUST0010,Female,1,Yes,No,56,No,No,Fiber optic,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card,81.32,4553.92,Yes
CUST0011,Male,1,Yes,No,10,No,No,No,Yes,Yes,Yes,No internet service,No internet service,Yes,Two year,Yes,Bank transfer,29.0,290.0,No
CUST0012,Female,1,No,No,31,No,No phone service,No,Yes,Yes,No,No,No internet service,No,One year,No,Credit card,54.8,1698.8,No
CUST0013,Female,1,No,Yes,28,No,No phone service,DSL,Yes,No,No,Yes,No internet service,Yes,One year,No,Mailed check,50.79,1422.12,Yes
CUST0014,Male,1,Yes,Yes,14,No,No phone service,DSL,Yes,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Credit card,35.11,491.54,Yes
CUST0015,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,54.65,2568.55,Yes
