EMPID,LOC
1,SEATTLE
2,SEATTLE
3,BOSTON
4,DALLAS
5,NEW YORK
6,NEW YORK
7,DALLAS
8,SEATTLE
9,SEATTLE
10,NEW YORK
11,BOSTON
12,SEATTLE
13,SEATTLE
14,NEW YORK
15,DALLAS
16,DALLAS
17,DALLAS
18,NEW YORK
19,DALLAS
20,DALLAS
21,BOSTON
22,NEW YORK
23,DALLAS
24,NEW YORK
25,SEATTLE
26,NEW YORK
27,DALLAS
28,DALLAS
29,DALLAS
30,DALLAS
31,CHICAGO
32,SEATTLE
33,BOSTON
34,BOSTON
35,NEW YORK
36,DALLAS
37,NEW YORK
38,SEATTLE
39,DALLAS
40,NEW YORK
41,BOSTON
42,DALLAS
43,DALLAS
44,BOSTON
45,NEW YORK
46,SEATTLE
47,BOSTON
48,BOSTON
49,SEATTLE
50,BOSTON
51,SEATTLE
52,DALLAS
53,CHICAGO
54,NEW YORK
55,DALLAS
56,BOSTON
57,NEW YORK
58,SEATTLE
59,CHICAGO
60,CHICAGO
61,DALLAS
62,CHICAGO
63,DALLAS
64,DALLAS
65,BOSTON
66,CHICAGO
67,BOSTON
68,DALLAS
69,BOSTON
70,DALLAS
71,BOSTON
72,SEATTLE
73,BOSTON
74,SEATTLE
75,NEW YORK
76,BOSTON
77,CHICAGO
78,NEW YORK
79,CHICAGO
80,DALLAS
81,BOSTON
82,BOSTON
83,NEW YORK
84,DALLAS
85,DALLAS
86,SEATTLE
87,BOSTON
88,NEW YORK
89,CHICAGO
90,DALLAS
91,SEATTLE
92,NEW YORK
93,SEATTLE
94,CHICAGO
95,CHICAGO
96,BOSTON
97,SEATTLE
98,SEATTLE
99,BOSTON
100,SEATTLE
