Job_Name,Table_Name,Table_Type,Row_Count,Platform
wf_m_PatternForChurnData,Churndata,Source,100,Informatica
wf_m_PatternForChurnData,Gender,Source,2,Informatica
wf_m_PatternForChurnData,CHURNRATIO,Target,79,PySpark
wf_m_PatternForChurnData,CHURNDIM,Target,100,PySpark
wf_m_PatternForChurnData,ChurnDT,Target,100,PySpark
wf_s_m_multiple_unc11,EMPLOYEE,Source,100,Informatica
wf_s_m_multiple_unc11,TGT_FLT,Target,100,PySpark
wf_s_m_multiple_unc11,TARGET_AGG,Target,100,PySpark
wf_s_m_multiple_unc11,UL_TGT_EMP,Target,100,PySpark
wf_s_m_multiple_mapplet,EMPLOYEEDETAILS,Source,100,Informatica
wf_s_m_multiple_mapplet,TARGET_EMP,Target,100,PySpark
wf_m_mapplet_multiple_unconnected,EMPLOYEE,Source,100,Informatica
wf_m_mapplet_multiple_unconnected,TGT_FLT,Target,100,PySpark
wf_s_m_complex5,EMP_DEPT,Source,4,Informatica
wf_s_m_complex5,EMPLOYEE_DETAILS1,Source,50,Informatica
wf_s_m_complex5,EMPLOYEE_DETAILS2,Source,50,Informatica
wf_s_m_complex5,EMPLOYEEDETAILS,Source,100,Informatica
wf_s_m_complex5,EMPLOYEE_DETAILS_FLAT,Source,25,Informatica
wf_s_m_complex5,EMP_MAX_MIN,Target,175,PySpark
wf_s_m_complex5,T_EMP_DEP10,Target,38,PySpark
wf_s_m_complex5,T_DEFAULT,Target,137,PySpark
wf_s_m_complex5,TARGET_INSERT,Target,49,PySpark
wf_s_m_complex5,TARGET_UPDATE,Target,46,PySpark
